X,Y,wkt_geom,fid,UUID,MS_CD,EU_CD,VISS_MS_CD,SJONAMN,SJOID,CATEGORY,HARO,DAROID_UT,DISTRICT,COMP_AUTH,COUNTRY,WB,VERSION,URL_VISS,SHAPE_Leng,GVatten,G_EU_CD,G_MS_CD,centroid_x,centroid_y
14.45803232,64.69623689,Point (474152.83356817811727524 7174711.71473670843988657),5380,SEC40D0879-33D1-40E0-84AC-491B1A9DFC3E,WA50336330,SE717711-143623,SE717711-143623,Durrenjaure,717711-143623,LW,38000,717745-143577,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA50336330,3184.862273,N,,,474153,7174712
20.83984876,64.62277045,Point (778958.54684058949351311 7179273.83123822975903749),5379,SE6CBE2798-0744-4E92-8BF1-7F392A018615,WA24956428,SE717702-174164,SE717702-174164,Ragvaldsträsket,717702-174164,LW,21000,717843-174048,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA24956428,6404.81471,N,,,778959,7179274
18.85493986,64.67141682,Point (683928.27898650371935219 7177430.78098001983016729),5378,SE5DFD3417-69B5-4629-9FD0-4D84231E8576,WA19902152,SE717683-164542,SE717683-164542,Lill-Holmträsket,717683-164542,LW,28000,717696-164554,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA19902152,5030.902827,N,,,683928,7177431
20.49035459,64.6086529,Point (762434.19087041390594095 7176211.84142910968512297),5377,SE6A1C68C1-9B2D-43A4-AA5D-539A0B3C37D4,WA26177864,SE717628-172350,SE717628-172350,Yttre Ljusvattnet,717628-172350,LW,21000,717537-172351,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA26177864,5095.403415,N,,,762434,7176212
18.32458287,64.6688368,Point (658657.86249022278934717 7175710.38772668689489365),5376,SEE3249D36-FFE6-4269-B640-7571EC47A818,WA85044119,SE717604-161968,SE717604-161968,Fjunträsket,717604-161968,LW,30000,717635-162073,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA85044119,3734.89332,N,,,658658,7175710
14.64141941,64.71395136,Point (482910.13790852768579498 7176623.79449325520545244),5391,SE033872D4-BC55-43C6-BD97-B4EBB5E4D606,WA91002822,SE717848-144579,SE717848-144579,Övre Härbergsvattnet,717848-144579,LW,38000,717935-144429,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA91002822,6983.220954,N,,,482910,7176624
15.30618237,64.70969894,Point (514594.83266567508690059 7176137.07910880912095308),5390,SE39AABF63-11C7-4020-8B68-1E127E3E1A03,WA20593928,SE717834-147599,SE717834-147599,Stortjärnen,717834-147599,LW,38000,717881-147673,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA20593928,1680.659659,N,,,514595,7176137
17.75726506,64.7011576,Point (631442.16080436017364264 7178009.90557731222361326),5389,SEBC7EC084-FC35-4A2D-BE45-F9C3D0901A23,WA11299313,SE717828-159274,SE717828-159274,Södra Saddijaur,717828-159274,LW,30000,717986-159169,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA11299313,4411.523406,N,,,631442,7178010
15.30929867,64.70334839,Point (514747.40464302489999682 7175429.80052393022924662),5388,SEF599C6C2-63CC-429F-941C-5BCFAAD4F84B,WA33314427,SE717811-147605,SE717811-147605,Lillsjön,717811-147605,LW,38000,717770-147655,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA33314427,1878.693118,N,,,514747,7175430
14.15494453,64.78774043,Point (459835.22306506300810724 7185066.91615394037216902),5387,SEBBD04508-4F24-4FA8-A082-CE20163FABBC,WA47299098,SE717805-142346,SE717805-142346,Stor-Blåsjön,717805-142346,LW,38000,718422-460978,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA47299098,50927.99952,N,,,459835,7185067
